Fecha entrada,Fecha Anulacion,Fecha venta,Noches,Tip_Hab_Fra,R_Factura,AD,NI,CU,Horario_Venta,P_Alojamiento,P_Desayuno,P_Almuerzo,P_Cena,Cantidad_Habitaciones,Mes_Entrada,Mes_Venta,Antelacion,Score Canc
2016-09-12,2016-02-10,2015-11-04,4,EM,SA,2,0,0,Ma̱ana,416.16,0.0,0.0,0.0,1,September,November,313,0.3121019108280255
2016-07-01,2016-06-13,2015-12-01,2,EM,HD,2,0,0,Ma̱ana,122.25,5.1,0.0,0.0,1,July,December,213,0.911214953271028
2016-07-08,2016-06-04,2015-12-17,2,EC,PC,4,0,0,Tarde,178.56,9.4,23.5,23.5,1,July,December,204,0.8292682926829268
2016-07-18,2016-06-11,2015-12-17,7,DSC,SA,2,0,0,Tarde,469.0,0.0,0.0,0.0,1,July,December,214,0.8232558139534883
2016-07-12,2016-07-04,2015-12-28,5,EC,SA,2,0,0,Ma̱ana,291.31,0.0,0.0,0.0,1,July,December,197,0.9545454545454546
2016-06-23,2016-01-07,2016-01-04,17,EC,HD,3,0,0,Ma̱ana,1292.20995,53.89,0.0,0.0,1,June,January,171,0.0174418604651163
2016-08-01,2016-02-22,2016-01-04,10,DSM,HD,2,0,0,Ma̱ana,1096.63,45.7,0.0,0.0,1,August,January,210,0.2322274881516587
2016-08-15,2016-06-16,2016-01-07,6,DSM,MPC,4,0,0,Ma̱ana,922.38,42.900000000000006,0.0,107.28,1,August,January,221,0.7252252252252251
2016-06-23,2016-01-11,2016-01-08,3,DSM,PC,2,0,0,Ma̱ana,277.16001,14.580000000000002,36.48,36.48,3,June,January,167,0.0178571428571429
2016-06-23,2016-01-11,2016-01-08,3,DSM,PC,2,0,0,Ma̱ana,277.16001,14.580000000000002,36.48,36.48,3,June,January,167,0.0178571428571429
2016-06-23,2016-01-11,2016-01-08,3,DSM,PC,2,0,0,Ma̱ana,277.16001,14.580000000000002,36.48,36.48,3,June,January,167,0.0178571428571429
2016-06-24,2016-01-11,2016-01-10,2,IND,PC,1,0,0,Ma̱ana,0.0,0.0,0.0,0.0,1,June,January,166,0.0059880239520958
2016-06-18,2016-06-17,2016-01-12,4,EC,PC,2,0,0,Ma̱ana,238.16,12.52,31.32,31.32,1,June,January,158,0.9874213836477987
2016-06-18,2016-06-08,2016-01-12,1,EC,SA,3,0,0,Tarde,58.45,0.0,0.0,0.0,3,June,January,158,0.9308176100628932
2016-07-01,2016-03-21,2016-01-14,6,DSM,PC,4,0,0,Ma̱ana,749.20998,39.42,98.58,98.58,1,July,January,169,0.3941176470588236
2016-07-08,2016-01-18,2016-01-15,2,EC,SA,2,0,0,Ma̱ana,227.44,0.0,0.0,0.0,2,July,January,175,0.0170454545454545
2016-07-08,2016-01-18,2016-01-15,2,EC,SA,2,0,0,Ma̱ana,227.44,0.0,0.0,0.0,2,July,January,175,0.0170454545454545
2016-06-20,2016-05-07,2016-01-18,6,DSM,PC,2,0,0,Tarde,554.3100000000001,29.160000000000004,72.96000000000001,72.96000000000001,1,June,January,154,0.7096774193548387
2016-06-24,2016-06-17,2016-01-19,2,EC,PC,3,0,0,Ma̱ana,167.2,8.8,22.0,22.0,1,June,January,157,0.9493670886075948
2016-08-02,2016-02-12,2016-01-19,4,DSM,MPC,2,0,0,Ma̱ana,476.18,22.16,0.0,55.36,1,August,January,196,0.1218274111675127
2016-08-23,2016-07-20,2016-01-19,7,DSM,MPC,2,0,0,Ma̱ana,757.4900200000001,35.21,0.0,88.06,1,August,January,217,0.8394495412844036
2016-08-10,2016-05-19,2016-01-25,5,EC,MPC,2,0,0,Ma̱ana,1004.65,46.75,0.0,116.8,1,August,January,198,0.5778894472361809
2016-06-23,2016-01-27,2016-01-26,3,EC,PC,2,0,0,Ma̱ana,221.73,11.67,29.19,29.19,3,June,January,149,0.0066666666666667
2016-06-23,2016-01-27,2016-01-26,3,EC,PC,3,0,0,Ma̱ana,221.73,11.67,29.19,29.19,3,June,January,149,0.0066666666666667
2016-06-23,2016-01-27,2016-01-26,3,EC,PC,4,0,0,Ma̱ana,221.73,11.67,29.19,29.19,3,June,January,149,0.0066666666666667
2016-06-23,2016-06-06,2016-02-01,4,EM,PC,2,0,0,Ma̱ana,249.72,13.16,32.84,32.84,1,June,February,143,0.875
2016-07-08,2016-05-11,2016-02-01,19,DSM,PC,2,0,0,Ma̱ana,1764.45001,92.91,232.18,232.18,1,July,February,158,0.628930817610063
2016-07-01,2016-02-08,2016-02-03,7,EC,PC,4,0,0,Ma̱ana,866.8599800000001,45.64,114.03,114.03,1,July,February,149,0.0333333333333333
2016-06-24,2016-03-11,2016-02-05,2,EC,MPC,3,0,0,Ma̱ana,209.02,9.72,0.0,24.3,2,June,February,140,0.2482269503546099
